%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1618582128177685892,-0.449355658768,-0.848098085508,0.275950957246,0.0,0.0,12.7150246841
1618582128212510991,-0.455318290806,-0.840597465978,0.279701267011,0.0,0.0,12.6025724052
1618582128246098065,-0.460613345383,-0.833374525623,0.283312737189,0.0,0.0,12.4942832032
1618582128278286469,-0.465587389528,-0.826006380199,0.286996809901,0.0,0.0,12.3838170289
1618582128311954280,-0.470236956732,-0.818494313513,0.290752843243,0.0,0.0,12.2711931296
1618582128344888656,-0.474558806622,-0.810839634449,0.294580182776,0.0,0.0,12.1564311287
1618582128377561028,-0.478549927215,-0.803043676738,0.298478161631,0.0,0.0,12.039551022
1618582128413251841,-0.482418433964,-0.794622369845,0.302688815078,0.0,0.0,11.913295431
1618582128445325668,-0.485719539897,-0.786539603022,0.306730198489,0.0,0.0,11.7921153677
1618582128478329563,-0.488682138401,-0.778319791529,0.310840104235,0.0,0.0,11.6688806761
1618582128511973595,-0.491304164783,-0.769964367565,0.315017816218,0.0,0.0,11.5436128282
1618582128545190305,-0.493583791701,-0.761474786957,0.319262606522,0.0,0.0,11.4163336505
1618582128578510025,-0.495572701412,-0.752589192993,0.323705403504,0.0,0.0,11.2831172826
1618582128611590923,-0.497152519705,-0.743831808515,0.328084095742,0.0,0.0,11.1518230824
1618582128645554975,-0.498417818327,-0.734673511112,0.332663244444,0.0,0.0,11.0145182358
1618582128678866933,-0.499293290328,-0.725654612292,0.337172693854,0.0,0.0,10.8793033083
1618582128710822972,-0.49980992671,-0.716788250945,0.341605874528,0.0,0.0,10.7463752835
1618582128746957529,-0.499999624407,-0.706673293634,0.346663353183,0.0,0.0,10.59472781
1618582128778261483,-0.499820106076,-0.697559139009,0.351220430496,0.0,0.0,10.4580847695
1618582128811731550,-0.499291923071,-0.688040483984,0.355979758008,0.0,0.0,10.3153772978
1618582128845754844,-0.498383797649,-0.678108015881,0.36094599206,0.0,0.0,10.1664657753
1618582128878718808,-0.497149778835,-0.668347719908,0.365826140046,0.0,0.0,10.0201355261
1618582128912010718,-0.495569286634,-0.658470972721,0.37076451364,0.0,0.0,9.87205939382
1618582128944974517,-0.493643422523,-0.648479495216,0.375760252392,0.0,0.0,9.72226317889
